Label,Content
Interest,講了很電機的東西，雖然資工是從電機中分出來的，但自己真的對這塊沒有興趣，但最後來說，也只是邏輯運算的問題。
Interest,最近開始比較多跟硬體有關的知識，而我對硬體較沒有太大的興趣，所以課堂間偶爾會分心然後回神後就聽不太懂了，希望可以趕快結束有關硬體的單元，而我也會複習較不熟的地方。
Interest,理論的部份就快要結束了。雖然很重要，但對於理論就是沒有實感，之後的章節應該是應用吧？應該會比較有趣。
Interest,今天聽老師談了些有關AI的東西，覺得很有趣，特別是紀錄對手全部的對戰紀錄的部分，雖說聽起來有點作弊就是了
Interest,感覺今天沒上甚麼課，老師的課其實蠻有趣的，希望可以多講故事，或是一些有趣的例子，以利於吸收
Interest,運用Binary Search， Boolean Logic， 可以做出需要的gate，再將不同的匣組合就能成為電路板的原型。迴圈的結構透過真值表，使用匣組合，加總，繪出電路圖再簡化，這就是現在不斷進步的電晶體構成。對於影像與聲音也運用二進位編碼是讓我覺得很棒的一件事，但對於mp3的演算法是我更感興趣的地方
Interest,今天學到的邏輯電路很有意思，但也感覺有點複雜，需要再花點時間去了解。今天也了解到了電腦中cpu就是這樣的許多電路組成的，感覺挺有趣的。
Interest,開始進入到硬體世界了，對硬體方面蠻有興趣的，希望可以多講一些硬體的事情
Interest,這星期二老師教了一些基礎的電路，我一直對這個主題非常感興趣，有時候空閒之餘會去網路看別人寫有關這個的文章學習。上課時提到的一些故事也蠻有趣的，我覺得這些故事當中也有學習之處我也蠻喜歡的。
Interest,這週老師開始講algorithm 的 hardware realizations，包括基礎電路的設計，and / not / or gate，算是我比較有興趣的硬體部分
Interest,今天老師提到他過往出國的經，以及大環境的變遷，讓我感到非常有興趣，而且老師依舊不改其幽默本色，讓上課的過程變得更加有趣味，也提高了不少我學習的動力，這禮拜的英文單字也沒少過，但因為有加強相關能力，因此在認知上有些許的進步，希望下禮拜可以更加順利。
Interest,整體內容算聽得懂，因為本身對電腦還算有興趣所以不會覺得無聊
Interest,這週上到了我比較喜歡的一個部分，呃，也不是比較喜歡，而是比較感興趣，也就是對電腦來說蠻重要的一個部分:Central Processing Unit ( CPU )。之前的課要不就是講電腦的發明史，要不就是講演算法之類的，歷史我是最沒興趣的，演算法的話其他程設課也有提到相關的東西，所以聽得興致索然，不過現在終於講到電腦的組成了，對我來說算是新東西、想要了解的東西，所以我會上的比較投入。
Interest,最近幾次上課感覺自己的狀況比開學時好多了，慢慢的能跟上老師的速度，剩下少許跟不上的地方也只要翻個幾次書就能接上。尤其是今天的內容，也因為聽懂的部分變多，不但更有信心，也感覺更有興趣了。也希望之後上課能更專注，可以慢慢的跟上越來越多，最後能全都聽懂。
