Interest,Gain,Positive,Speed,Difficult,Content
3,3,3,3,3,若有認真讀的話今天的考試難度應該算適中，只是第一次寫演算法有點不太適應，用了一點C++的寫法，且全英文的題目也不太適應，系望在下次考試時能有更好的成績
3,3,3,3,3,今天是上大學以來第一次考試，也因為是第一次，所以特別緊張，再加上考試範圍很大，實在是緊張更緊張，但好險有看到幾個考試的重點，也有看考古題，希望大學的第一次考試還算順利
3,1,3,3,5,上大學後免有些緊張，但是看了書還不是很明白在說甚麼。考試時有時連題目的意思都看不懂，好像有點慘。還有幾題看錯的，希望下次會比較好。雖燃煤把書看完，但是我覺得我已經盡量利用時間看書，不管結果如何，我都覺得對得起自己的良心。邏輯思考對打成是真的很需要耶!
3,1,3,5,5,這次考試範圍有點大，時間緊，書來的又慢，老師講得頗快。所以就算有認真上課，回家狂k書，對於這次考試的效益皆不大。但有了這次考試的經驗，我對資概考試方向更瞭解一點。希望能持續進步，把資概讀好!
3,3,3,3,3,第一次考這類型的考試，覺得很陌生，但還是努力去理解題目並完成作答，考試時間一小時覺得有點小緊張，但還是盡量把會的題目做完了。
3,3,3,3,5,題目還行只是我英文需要再加強因為題目中的一些單字我都看不懂還好有在時間內寫完
3,5,5,3,1,我覺得這次的考試不算難，只要有用心準備考試，要及格是輕而易舉的事。這種全英文的考試我覺得非常好，不知不覺提升了我們的英文能力，而英文對我們來說非常重要。
3,3,3,3,1,題目上還算看得懂，但對於寫演算法還是不熟練及陌生，拿到書的時間不太夠準備考試，難易度算中偏易，但答案回答的都不太完全，得補上原文書筆記的進度。
3,5,5,3,1,關於程式的部分，多加思考就寫的出來，因此利用了題目卷的兩大空白背面，寫寫畫畫地將流程圖寫出來，特別是在排序的那一大題，寫了有紙張的一半，判斷的條件在多讀幾次題目就慢慢浮現，在最後的名人事蹟撰寫，必須要有額外的閱讀才能流暢作答，光看題目無法聯想也不是運用邏輯，對於這次的考試，有自己另外加強課外閱讀十分重要，當然課本也不可少，多數題目還是近似課本所授，若不精讀就很難取得較高的成績。
3,3,3,3,5,考試難度稍難，但還是可以看得懂，也能寫出自己的答案，有把握不會太慘。
3,3,5,3,3,這是我進入大學後的第一次考試，除了不適應以外，我覺得我準備的食在不夠充分，考前準備是非常重要的，下次再考試前，我會更努力準備。
3,1,3,3,5,本週是開學以來資概課第一次小考，說實在因為沒拿到考古題，有限時間內也沒很充足的複習，導致有些題目甚至看不太懂，無從下手，也有些是看不懂英文，經過這次的經驗，以後定會認真練習，做好準備。
3,1,3,3,5,上大學後的第一次考試，帶給我不小的震撼，經過此次的洗禮，該好好審視自我的不足與怠惰，面對下一次的考試，不想再有今天的窘境了。
